学习时间,考试成绩
10.4,58.1
21.6,71.0
0.0,44.8
0.5,34.7
15.9,63.2
14.6,52.5
13.6,61.0
10.1,48.5
18.3,67.8
19.7,62.2
22.3,72.9
15.2,63.9
38.9,90.8
10.4,60.5
8.4,50.2
27.5,74.2
11.9,51.6
27.6,74.3
36.1,82.3
32.7,82.2
24.2,74.5
30.4,76.1
23.7,74.8
18.2,58.5
0.8,43.3
39.6,92.1
11.9,58.7
32.8,82.7
28.0,72.7
29.8,80.4
30.7,74.7
29.6,72.3
11.0,56.3
15.0,57.0
33.9,77.6
31.2,73.5
22.6,70.3
28.7,70.0
39.9,96.9
7.3,50.6
31.8,87.9
5.5,40.8
16.4,64.2
19.8,71.3
15.8,59.7
3.2,37.2
34.2,82.3
28.9,83.9
29.8,83.2
35.8,84.0
1.5,47.0
24.1,76.2
8.0,57.7
14.3,51.5
21.5,65.2
18.6,61.7
6.3,47.9
28.3,71.6
23.0,69.8
33.6,86.3
24.4,67.5
3.2,51.6
17.5,63.4
26.9,80.4
27.2,71.8
31.4,78.2
37.5,92.5
38.3,96.4
20.2,62.0
14.2,64.4
27.1,70.1
25.9,79.4
11.8,48.5
28.0,70.5
39.2,90.4
15.6,65.0
39.9,96.9
39.4,88.9
5.2,43.3
7.2,43.0
26.8,74.9
6.5,52.1
16.1,59.8
19.9,59.8
31.9,82.8
9.0,49.0
1.0,35.0
2.4,44.1
34.2,85.5
34.6,84.1
13.5,63.2
22.0,74.1
8.3,50.1
25.0,66.6
22.3,62.3
26.2,77.4
20.6,62.8
14.1,58.5
15.8,64.0
20.9,73.2
33.2,85.3
20.4,66.8
35.4,82.5
9.1,50.0
38.9,89.5
22.4,72.9
34.5,88.1
39.5,84.1
2.9,46.1
30.6,84.9
18.1,61.1
20.8,61.5
6.8,48.9
12.5,57.0
2.3,47.2
4.3,47.1
20.6,69.5
12.3,50.8
17.7,65.3
29.8,79.8
13.1,57.5
2.0,43.3
16.0,55.6
9.7,47.4
24.6,65.2
34.4,78.6
21.9,66.9
1.8,47.8
0.5,44.5
32.4,79.3
32.4,84.0
39.7,89.5
6.3,53.6
5.8,43.7
28.8,73.7
10.2,59.0
36.8,90.3
9.2,44.6
26.7,72.2
34.0,83.9
17.0,58.9
36.6,83.9
5.6,51.0
24.7,79.0
30.2,85.4
27.7,73.9
15.4,64.1
17.9,68.9
28.8,81.9
8.1,44.3
22.3,67.7
4.2,38.7
37.5,87.4
3.2,49.9
19.7,65.0
10.5,51.8
36.3,89.3
10.5,54.2
27.1,74.6
35.2,89.8
27.6,83.2
20.6,71.0
15.1,60.1
21.1,72.1
16.6,67.4
32.3,78.2
22.0,72.1
8.7,44.7
9.1,50.4
17.6,63.0
16.3,54.3
34.8,92.0
7.7,44.1
30.6,74.1
21.2,71.4
31.4,75.4
2.9,47.2
28.0,82.9
19.2,69.6
14.0,58.7
34.6,87.7
24.5,65.3
17.5,65.8
13.5,63.7
12.6,62.4
36.5,91.8
21.0,62.4
34.4,81.1
37.4,95.8
17.4,55.3
27.7,70.1
6.6,47.2
17.9,61.3
3.9,49.4
6.9,55.7
28.4,83.8
32.2,86.3
33.2,81.9
4.7,44.2
25.7,80.7
