日期,温度,湿度,销量,客流量
2024-01-01,15.4,76.4,214,1169
2024-01-02,14.5,77.4,204,1204
2024-01-03,18.1,77.3,216,1280
2024-01-04,18.4,76.3,226,1255
2024-01-05,19.0,79.0,229,1279
2024-01-06,20.4,74.8,264,1236
2024-01-07,18.9,75.2,257,1366
2024-01-08,20.7,75.1,265,1386
2024-01-09,21.2,81.6,278,1332
2024-01-10,20.1,75.7,293,1353
2024-01-11,21.6,80.7,283,1302
2024-01-12,24.2,82.5,297,1274
2024-01-13,23.0,78.1,280,1324
2024-01-14,25.1,81.4,313,1215
2024-01-15,26.6,79.4,311,1195
2024-01-16,23.7,76.1,284,1216
2024-01-17,26.2,83.2,268,1217
2024-01-18,27.8,78.2,286,1100
2024-01-19,26.4,82.6,255,1185
2024-01-20,26.8,83.3,259,1085
2024-01-21,26.1,80.6,245,1070
2024-01-22,26.1,79.4,257,1029
2024-01-23,29.0,82.8,230,973
2024-01-24,26.2,76.3,231,907
2024-01-25,28.1,82.6,197,904
2024-01-26,28.2,76.2,223,836
2024-01-27,27.5,80.6,185,853
2024-01-28,25.2,80.0,181,810
2024-01-29,26.8,81.6,175,891
2024-01-30,25.5,75.3,191,826
2024-01-31,23.6,79.8,178,907
2024-02-01,26.8,75.3,174,860
2024-02-02,23.4,73.6,177,910
2024-02-03,23.3,75.1,163,831
2024-02-04,22.5,80.5,175,1004
2024-02-05,21.7,73.5,178,932
2024-02-06,22.0,75.2,178,1029
2024-02-07,21.3,73.9,204,1016
2024-02-08,21.0,75.7,199,1099
2024-02-09,19.2,72.9,198,1105
2024-02-10,20.2,71.6,204,1209
2024-02-11,18.0,70.3,221,1159
2024-02-12,18.3,70.5,240,1257
2024-02-13,18.0,75.6,266,1311
2024-02-14,15.0,74.7,267,1416
2024-02-15,17.1,70.8,265,1423
2024-02-16,15.9,68.3,287,1450
2024-02-17,15.8,69.9,318,1527
2024-02-18,14.0,65.8,298,1454
2024-02-19,12.3,70.2,336,1600
2024-02-20,12.7,69.2,349,1596
2024-02-21,11.1,66.3,342,1611
2024-02-22,10.6,65.7,368,1578
2024-02-23,8.5,69.0,342,1538
2024-02-24,6.5,62.3,366,1585
2024-02-25,9.6,67.9,361,1569
2024-02-26,5.7,62.4,349,1452
2024-02-27,5.7,63.1,365,1529
2024-02-28,7.1,65.2,347,1494
2024-02-29,5.5,61.8,354,1432
2024-03-01,4.7,60.2,343,1351
2024-03-02,4.6,59.0,345,1375
2024-03-03,4.7,59.6,321,1256
2024-03-04,2.4,63.0,310,1348
2024-03-05,3.3,58.8,302,1303
2024-03-06,1.6,57.0,298,1249
2024-03-07,3.4,54.2,317,1223
2024-03-08,3.7,59.1,291,1200
2024-03-09,3.1,53.5,262,1066
2024-03-10,1.2,53.5,277,1129
2024-03-11,3.3,58.5,242,1071
2024-03-12,2.5,52.3,267,1079
2024-03-13,2.2,56.9,265,1032
2024-03-14,3.7,55.6,259,1093
2024-03-15,4.1,54.6,231,1070
2024-03-16,5.2,51.9,243,1090
2024-03-17,4.8,54.6,254,1139
2024-03-18,4.3,51.3,242,1177
2024-03-19,5.1,52.7,231,1208
2024-03-20,5.7,47.8,243,1234
2024-03-21,7.1,51.4,255,1169
2024-03-22,6.4,51.6,254,1229
2024-03-23,8.4,49.6,272,1339
2024-03-24,7.3,49.6,289,1359
2024-03-25,9.1,42.9,283,1459
2024-03-26,10.7,45.2,292,1465
2024-03-27,11.6,45.5,289,1445
2024-03-28,9.9,41.9,315,1591
2024-03-29,13.7,45.9,316,1515
2024-03-30,12.2,45.7,336,1679
2024-03-31,14.5,46.9,373,1640
2024-04-01,13.2,44.3,360,1693
2024-04-02,14.7,41.0,390,1727
2024-04-03,16.4,43.3,377,1789
2024-04-04,18.0,45.6,386,1697
2024-04-05,16.2,40.6,400,1734
2024-04-06,20.8,42.3,431,1755
2024-04-07,20.2,37.6,432,1823
2024-04-08,19.9,38.8,438,1771
2024-04-09,19.7,37.6,439,1747
2024-04-10,23.3,43.1,429,1807
2024-04-11,21.2,37.7,430,1742
2024-04-12,21.9,42.6,415,1634
2024-04-13,24.3,41.1,424,1613
2024-04-14,25.9,40.3,426,1556
2024-04-15,26.6,40.7,401,1519
2024-04-16,24.5,41.7,412,1512
2024-04-17,27.1,39.7,381,1533
2024-04-18,26.0,37.5,398,1412
2024-04-19,24.8,44.0,363,1434
2024-04-20,26.6,41.0,364,1431
2024-04-21,25.4,44.0,368,1351
2024-04-22,25.7,40.4,355,1338
2024-04-23,26.9,38.3,336,1254
2024-04-24,28.4,39.4,324,1268
2024-04-25,27.0,36.9,326,1228
2024-04-26,28.5,42.9,320,1333
2024-04-27,25.0,41.7,310,1283
2024-04-28,26.6,41.0,302,1302
2024-04-29,24.4,43.1,282,1331
