部门,地区,员工数,季度销售额,满意度
研发部,华东,5,62.4,5.0
研发部,华东,32,154.3,3.8
研发部,华东,23,98.0,4.1
研发部,华东,34,101.6,3.3
研发部,华北,35,153.7,3.4
研发部,华北,19,108.6,4.1
研发部,华北,16,245.6,3.5
研发部,华北,40,88.2,3.3
研发部,华南,11,108.2,4.1
研发部,华南,35,64.9,4.8
研发部,华南,27,174.3,4.4
研发部,华南,43,174.9,4.8
研发部,西南,38,58.0,3.3
研发部,西南,19,135.1,3.0
研发部,西南,8,203.6,3.7
研发部,西南,22,143.7,4.9
市场部,华东,33,187.7,3.7
市场部,华东,19,77.8,3.3
市场部,华东,41,114.5,3.4
市场部,华东,30,117.4,3.1
市场部,华北,32,234.3,4.1
市场部,华北,38,181.0,4.8
市场部,华北,9,156.0,4.3
市场部,华北,40,242.1,4.7
市场部,华南,28,242.8,4.9
市场部,华南,26,213.7,3.0
市场部,华南,25,115.6,4.4
市场部,华南,26,201.1,5.0
市场部,西南,27,214.6,3.9
市场部,西南,30,197.7,4.1
市场部,西南,17,97.4,3.0
市场部,西南,5,238.7,4.7
销售部,华东,30,52.9,4.2
销售部,华东,28,193.4,5.0
销售部,华东,16,247.3,4.3
销售部,华东,37,174.9,4.7
销售部,华北,10,248.8,4.0
销售部,华北,27,82.2,3.8
销售部,华北,13,212.7,4.7
销售部,华北,34,181.7,5.0
销售部,华南,29,197.3,4.9
销售部,华南,24,96.0,4.2
销售部,华南,36,220.8,3.4
销售部,华南,27,145.5,4.1
销售部,西南,12,100.1,3.9
销售部,西南,24,84.2,3.0
销售部,西南,11,54.8,3.2
销售部,西南,40,246.6,3.1
人事部,华东,11,131.0,4.0
人事部,华东,34,123.6,3.7
人事部,华东,36,192.1,4.6
人事部,华东,26,209.7,3.8
人事部,华北,27,108.5,4.1
人事部,华北,36,66.0,3.5
人事部,华北,38,215.5,4.5
人事部,华北,22,121.4,4.8
人事部,华南,15,122.3,4.0
人事部,华南,38,130.8,4.9
人事部,华南,27,137.3,3.7
人事部,华南,26,108.7,4.8
人事部,西南,27,247.2,4.7
人事部,西南,24,137.4,4.4
人事部,西南,42,160.1,4.3
人事部,西南,11,188.7,3.8
